,ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,TADA_BF,krishnan_post,D,D_ens,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000360966,ENSP00000360966,11182,SLC2A6,2.799e-05,FALSE,NA,0.000366664150450035,0.817209096465188,0.492,0.0248616324746096,-0.015863143460906,0.88567784848224,0.885729005980709,0.879150444,0.87925570707082,0,1,0
ENSP00000361083,ENSP00000361083,10974,ADIRF,NA,FALSE,NA,0.033386817321431,NA,0.373,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000362387,ENSP00000362387,23555,TSPAN15,1.437e-05,FALSE,NA,0.00185580828692184,0.463688637161104,0.447,0.00514516208074722,-0.631282950846782,0.935068663783272,0.93298089434958,0.933409803,0.921131735791168,0,1,0
ENSP00000363418,ENSP00000363418,56181,MTFR1L,NA,FALSE,NA,0.431750877541367,NA,0.411,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000364728,ENSP00000364728,653048,XAGE1C,3.38e-06,FALSE,NA,NA,0.524336177383362,0.415,NA,NA,0.884028483412876,0.88205427495563,0.918036218,1,0,1,0
ENSP00000365076,ENSP00000365076,57827,C6orf47,1.26e-05,FALSE,NA,0.16984783307713,0.476378274802551,0.401,NA,NA,0.915666018490491,0.915052012541192,0.93109689,1,0,1,0
ENSP00000365714,ENSP00000365714,57348,TTYH1,1.854e-05,FALSE,NA,0.998439974081688,0.440804012989452,0.51,0.106287346671032,-0.254660466116111,0.937264120853919,0.935461708481325,0.936940287,0.918336915258193,0,0.231320343472963,22.5233771
ENSP00000365759,ENSP00000365759,780,DDR1,4.99e-05,FALSE,NA,0.0264778570642852,0.175978027293656,0.493,0.0656697750107382,0.0649981581582612,0.948925036475627,0.946853181181806,0.948993662,0.94516644207565,0,1,0
ENSP00000372482,ENSP00000372482,79622,SNRNP25,7.22e-06,FALSE,NA,0.00747804113002767,1.67689179362303,0.491,0.00329862806306929,-0.715636967839213,0.762386507011712,0.760019143190864,0.777378776,0.826923923840656,0,0.713065232239018,30.6446464515927
ENSP00000374292,ENSP00000374292,284001,CCDC57,3.84e-05,FALSE,NA,2.63627612154765e-13,0.362026069918201,0.443,0.0151253202202578,-0.099202246704497,0.944209195739123,0.941546456889248,0.943005856,0.889546418705448,0,1,0
ENSP00000375095,ENSP00000375095,50838,TAS2R13,9.68e-06,FALSE,NA,0.579968726680784,0.488461878986793,0.495,NA,NA,0.930807687211391,0.929331400305201,0.928152357,0.931072496329799,0,0.748401427,70.2353514821535
ENSP00000379047,ENSP00000379047,79714,CCDC51,1.724e-05,FALSE,NA,1.46055955445772e-06,0.923060002063757,0.061,0.0461270988941751,0.199452001906506,0.863842057248865,0.862175888310028,0.871062403,0.925162664499476,0,1,0
ENSP00000384917,ENSP00000384917,79987,SVEP1,0.000125,FALSE,NA,0.589007650495336,0.142364459457944,0.491,0.0811689905952568,0.113778737791326,0.950344184635339,0.948050851364162,0.949611351,0.946500818546728,0,1,0
ENSP00000390153,ENSP00000390153,51250,C6orf203,8.54e-06,FALSE,NA,0.00178692275457031,1.41373977177163,0.33,0.0052954623615808,-0.492940278324483,0.799400614475865,0.795582803476667,0.811910713,1,0,1,0
ENSP00000392204,ENSP00000392204,100144748,KLLN,NA,FALSE,NA,NA,NA,0.469,NA,NA,NA,NA,NA,NA,0,1,0
