ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,forecASD,STRING_score,BrainSpan_score,STRING+BrainSpan_RF,krishnan_post,D_ens,D,TADA_BF,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000338838,66005,CHID1,0.00001993,FALSE,NA,0.000725517,0.006,0.168,0.164,0.044,0.366,0.007181409,-0.475191481,0.349756229,0.942251593,0.940127705,0.943627343,0.920916324,0,1,0
ENSP00000344616,646799,ZAR1L,0.0000126,FALSE,NA,NA,0.006,0.168,0.107,0.041,0.447,NA,NA,1.335532636,0.813499125,0.810873867,0.826484943,1,0,1,0
ENSP00000362469,29988,SLC2A8,0.00002057,FALSE,NA,0.237274588,0.006,0.168,0.111,0.041,0.447,0.026509663,-0.143743624,0.2167407,0.946996064,0.944974384,0.948106936,0.915514036,0,1,0
ENSP00000336733,27090,ST6GALNAC4,0.00001967,FALSE,NA,0.005077205,0.006,0.166,0.136,0.055,0.367,0.027849086,-0.020551238,0.270003288,0.945054733,0.943125092,0.946548529,0.928170576,0,1,0.887269998
ENSP00000321731,170961,ANKRD24,0.0000353,FALSE,NA,1.87439E-06,0.006,0.164,0.257,0.048,0.471,0.018662259,-0.176029997,0.645829181,0.927387903,0.925287973,0.899034455,0.872889299,0,1,0
ENSP00000369146,4499,MT1M,0.00000313,FALSE,NA,9.83544E-05,0.006,0.164,0.078,0.016,0.459,NA,NA,0.526615606,0.922151728,0.920979561,0.917313849,0.923585057,0,1,0
ENSP00000371847,245938,DEFB125,0.00000546,FALSE,NA,0.000941817,0.006,0.164,0.084,0.019,0.49,NA,NA,0.591070105,0.913127463,0.911709652,0.908029434,0.941441035,0,1,0
ENSP00000269097,92579,G6PC3,0.00001503,FALSE,NA,1.07483E-05,0.006,0.162,0.079,0.009,0.442,0.00743917,-0.481448392,0.946220397,0.859990391,0.858149701,0.868633433,0.935031606,0,1,0
ENSP00000286031,55732,C1orf112,0.00002779,FALSE,NA,5.98151E-08,0.006,0.162,0.235,0.045,0.329,0.017182283,0.006819066,0.614373899,0.927848544,0.924681896,0.904813832,0.876131719,0,1,0
ENSP00000333208,389084,C2orf82,0.00000487,FALSE,NA,0.466831049,0.006,0.162,0.165,0.004,0.447,0.082298818,0.00117833,0.521421307,0.890767337,0.889209053,0.918917651,1,0,1,10.97131129
ENSP00000221730,79852,EPHX3,0.00001509,FALSE,NA,5.0464E-07,0.006,0.160,0.159,0.003,0.446,0.023115683,-0.016464231,0.141010185,0.948780033,0.946678192,0.94963408,0.90964316,0,1,0
ENSP00000240333,10237,SLC35B1,0.00001217,TRUE,3,0.013286269,0.006,0.160,0.404,0.166,0.472,0.011309581,-0.326530156,1.356507847,0.811451952,0.809870833,0.822865215,0.933158132,0,1,7.796935429
ENSP00000245817,8744,TNFSF9,0.00001693,FALSE,NA,0.096826856,0.006,0.160,0.220,0.114,0.464,0.012704798,-0.347905683,0.454081128,0.923246879,0.922313767,0.935032907,0.924749967,0,1,1.093775892
